bic_nombre,bic_categoria,bic_entorno,municipio_nombre,bic_descripcion,boletin1_nombre,boletin1_url,boletin2_nombre,boletin2_url
RASCA,ZONA ARQUEOLÓGICA,falso,ARONA,"Bien de Interés Cultural con categoría de Zona Arqueológica de “Rasca”, en el municipio de Arona, declarado por Decreto 175/2006, de 28 de noviembre, del Gobierno de Canarias, publicado en el BOC nº 238 de 11 de diciembre de 2006.",BOC nº 238 de 11 de diciembre de 2006,http://www.gobiernodecanarias.org/boc/2006/238/006.html,,
ROQUE DE JAMA - LA CENTINELA,ZONA ARQUEOLÓGICA,falso,ARONA,"Bien de Interés Cultural con categoría de Zona Arqueológica del “Roque de Jama-La Centinela”, en los municipios de Arona y San Miguel, incoado por Resolución de 27 de octubre de 2014 del Consejero Delegado de Cultura y Patrimonio Histórico del Cabildo Insular, publicado en el BOC nº 221 de 13 de noviembre de 2014, y delimitación por Decreto 22/2018, de 19 de febrero, del Gobierno de Canarias, publicado en el BOC nº 41 de 27 de febrero de 2018.",BOC nº 221 de 13 de noviembre de 2014,http://www.gobiernodecanarias.org/boc/2014/221/index.html,BOC nº 41 de 27 de febrero de 2018,http://www.gobiernodecanarias.org/boc/2018/041/010.html
VILLA Y PUERTO DE GARACHICO,CONJUNTO HISTÓRICO,falso,GARACHICO,"Bien de Interés Cultural con categoría de Conjunto Histórico de la “Villa y Puerto de Garachico”, en el municipio homónimo, declarado por Decreto 10/1994, de 11 de febrero, del Gobierno de Canarias, publicado en el BOC nº 28 de 7 de marzo de 1994. No cuenta con Plan Especial de Protección.",BOC nº 28 de 7 de marzo de 1994,http://www.gobiernodecanarias.org/boc/1994/028/006.html,,
LLANOS DE IFARA,ZONA ARQUEOLÓGICA,falso,GRANADILLA DE ABONA,"Bien de Interés Cultural con categoría de Zona Arqueológica de los “Llanos de Ifara”, en el municipio de Granadilla, declarada su delimitación por Decreto 103/2021, de 28 de octubre, del Gobierno de Canarias, publicado en el BOC nº 231 de 10 de noviembre de 2021.",BOC nº 231 de 10 de noviembre de 2021,https://www.gobiernodecanarias.org/boc/2021/231/013.html,,
BARRANCO DEL REY,ZONA ARQUEOLÓGICA,falso,ARONA,"Bien de Interés Cultural con categoría de Zona Arqueológica del “Barranco del Rey”, en el municipio de Arona, con delimitación declarada por Decreto 238/2017, de 4 de diciembre, del Gobierno de Canarias, publicado en el BOC nº 238 de 13 de diciembre de 2017.",BOC nº 238 de 13 de diciembre de 2017,http://www.gobiernodecanarias.org/boc/2017/238/012.html,,
ACANTILADOS DE TACORONTE Y BARRANCO DE GUAYONJE,ZONA ARQUEOLÓGICA,falso,TACORONTE,"Bien de Interés Cultural con categoría de Zona Arqueológica de los “Acantilados de Tacoronte y El Barranco de Guayonge”, en el municipio de Tacoronte, declarado por Decreto 87/2007, de 8 de mayo, del Gobierno de Canarias, publicado en el BOC nº 100 de 18 de mayo de 2007", BOC nº 100 de 18 de mayo de 2007,http://www.gobiernodecanarias.org/boc/2007/100/007.html,,
CONJUNTO HISTÓRICO DE SAN CRISTÓBAL DE LA LAGUNA,CONJUNTO HISTÓRICO,falso,LAGUNA (LA),"Bien de Interés Cultural con categoría de Conjunto Histórico del “Casco histórico de San Cristóbal de La Laguna”, en el municipio homónimo, declarado por Decreto 602/1985, de 20 de diciembre, del Gobierno de Canarias, publicado en el BOC nº 13 de 31 de enero de 1986. Cuenta con Plan Especial de Protección aprobado el 21 de julio de 2005.",BOC nº 13 de 31 de enero de 1986,http://www.gobiernodecanarias.org/boc/1986/013/005.html,,
EL  PUERTO DE LA CRUZ,CONJUNTO HISTÓRICO,falso,PUERTO DE LA CRUZ,"Bien de Interés Cultural con categoría de Conjunto Histórico del “Puerto de la Cruz”, en el municipio homónimo, declarado por Decreto 65/2006, de 23 de mayo, del Gobierno de Canarias, publicado en el BOC nº 111 de 9 de junio de 2006. No cuenta con Plan Especial de Protección.",BOC nº 111 de 9 de junio de 2006,http://www.gobiernodecanarias.org/boc/2006/111/009.html,,
ACANTILADO DE SAN JUAN DE LA RAMBLA Y LADERAS DE LOS BARRANCOS DE LA CHAURERA Y RUÍZ,ZONA ARQUEOLÓGICA,falso,SAN JUAN DE LA RAMBLA,"Bien de Interés Cultural con categoría de Zona Arqueológica de los “Acantilados de San Juan de la Rambla y Laderas de los barrancos de La Chaurera y Ruíz”, en el municipio de San Juan de la Rambla, declarado por Decreto 145/2008, de 1 de julio, del Gobierno de Canarias, publicado en el BOC nº 137 de 9 de julio de 2008.",BOC nº 137 de 9 de julio de 2008,http://www.gobiernodecanarias.org/boc/2008/137/002.html,,
VILLA DE LA OROTAVA,CONJUNTO HISTÓRICO,falso,OROTAVA (LA),"Bien de Interés Cultural con categoría de Conjunto Histórico de la “Villa de La Orotava”, en el municipio homónimo, declarado por Real Decreto 3302/1976, publicado en el BOE nº 73, de 26 de marzo de 1977, y delimitación del entorno de protección por Decreto 22/2005, de 22 de febrero, del Gobierno de Canarias, publicado en el BOC nº 45 de 4 de marzo de 2005. Cuenta con Plan Especial de Protección aprobado el 30 de noviembre de 2009.",BOE nº 73 de 26 de marzo de 1977,http://www.boe.es/boe/dias/1977/03/26/pdfs/A06924-06924.pdf,BOC nº 45 de 4 de marzo de 2005,http://www.gobiernodecanarias.org/boc/2005/045/004.html
TEGUESTE,CONJUNTO HISTÓRICO,falso,TEGUESTE,"Bien de Interés Cultural con categoría de Conjunto Histórico de “Tegueste”, en el municipio homónimo, declarado por Decreto 158/1986, de 24 de octubre, del Gobierno de Canarias, publicado en el BOC nº 132 de 3 de noviembre de 1986. Cuenta con Plan Especial de Protección y Reforma Interior publicado en el BOC de 7 de mayo de 2003.",BOC nº 132 de 3 de noviembre de 1986,http://www.gobiernodecanarias.org/boc/1986/132/005.html,,
