punto_interes_tipo,punto_interes_descripcion,punto_interes_nombre,espacio_natural_nombre,punto_interes_subtipo,latitud,longitud
Patrimonio Arquitectónico,"La iglesia comenzó a construirse como ermita dependiente 
de la parroquia de San Andrés en 1890, consagrándose el 29 de junio de 1909. En 1943 fue ascendida al rango de parroquia",Iglesia de San Pedro Apóstol,,Edificio religioso,28.525557512004102,-16.153901429139932
Patrimonio Arquitectónico,"Desde 1507 se cita en la documentación la existencia de un recinto en el fértil Valle de Taganana dedicado a Nuestra Señora de las Nieves. El paso del tiempo y las intenciones de familias y cofradías fueron ampliando la antigua ermita para conformar un templo de tres naves con sus capillas y camarín. En su interior destaca el tríptico flamenco de la Adoración de los Reyes, el Cristo del Socorro o la imagen titular del siglo XVI",Iglesia de Nuestra Señora de las Nieves,Parque Rural de Anaga,Edificio religioso,28.560585615148906,-16.217146013461676
Patrimonio Biológico,"Alberga epífitos como líquenes (Usnea) y batatillas (Davallia), indicadores de la elevada humedad existente",Pino de la pista los Órganos,,Árbol monumental,28.371725329677457,-16.484632827648603
Patrimonio Biológico,"Se trata de 2 ejemplares con chupones a modo de jaula a su alrededor.  Un ejemplar en la ladera Oeste, de 8 m de altura y un perímetro aproximado por fuera de los chupones de 8 m; y otro mayor en la ladera Este. Este último se encuentra situado sobre una cuevas artificiales, y tiene una altura de aproximadamente 10 m. Su perímetro es difícilmente mensurable pero el exterior , incluidos los chupones, es de 16 m, y el interior de 12,20 m. El mayor de los chupones podría pasar el solo por un gran ejemplar de 410 cm de perímetro",Viñátigos Centenarios,Paisaje Protegido de Las Lagunetas,Árbol monumental,28.457113091345526,-16.4022332794249
Patrimonio Geológico,"El Volcán Montaña Chinyero es un testimonio de la última manifestación volcánica en Tenerife, que ocurrió a principios del siglo XX y tuvo una duración de tan solo 10 días. Este volcán es una importante reliquia geológica que marca un evento significativo en la historia volcánica de la isla",Montaña de Chinyero,Reserva Natural Especial del Chinyero,Montaña/Volcán,28.296897863370724,-16.75547632999803
Patrimonio Etnográfico,,Lagar de la Hacienda del Señorío del Valle,,Instalación agrícola,28.298153388830187,-16.815190778160204
Servicios y Facilidades,"La estación base del teleférico del Teide dispone de un área de descanso, servicio de cafetería y restaurante-buffet con magníficas vistas al Parque Nacional del Teide, tienda y aseos públicos. Es el lugar adecuado para informarse de las distintas rutas que se pueden realizar tras subir al Teide en teleférico",Teleférico del Teide,Parque Nacional del Teide,Infraestructura de transporte,28.254592801429688,-16.625797883564047
Asentamientos,"Pequeño caserío habitado, que carece de servicios, y está poblado desde el siglo XVI por colonos y guanches libres después de la conquista. Estuvo aislado por carretera hasta 1970",Caserío de la Cumbilla,Parque Rural de Anaga,Núcleo poblacional,28.566034146255337,-16.154962163002285
Patrimonio Arquitectónico,"La ermita de Lomo de Las Bodegas, dedicada a Santiago 
Apóstol, forma parte de la parroquia de Las Nieves de Taganana y fue edificada en la década de 1930.",Ermita de Santiago Apóstol,Parque Rural de Anaga,Edificio religioso,28.56345572752268,-16.154495436209707
Patrimonio Biológico,"Se cuenta que venía una yunta de bueyes arrastrando madera por el camino y un buey cayó, agotado, de rodillas. El gañan o boyero le pegó para que se levantara y el otro buey, en su defensa, habló: «aguante compañero que nuestro dueño lo sufrirá». Tiene 5 pernadas, tres de ellas juntas en la base. Ramificado desde la base. Sobre picón (Montaña de Arenas Negras). Con batatillas (Davallia) y líquenes (Usnea) epífitos",Pino del sitio donde el Buey habló,Reserva Natural Especial del Chinyero,Árbol monumental,28.314032199228343,-16.760357787162636
Patrimonio Geológico,"Montaña Grande es el mayor de los volcanes que se erigen sobre el malpaís de Güímar. Su simétrica silueta es un icono del municipio y el elemento central de la Reserva Natural Especial. La subida al cono volcánico está prohibida, por los efectos negativos que el tránsito provoca sobre la conservación del cono",Montaña Grande,Reserva Natural Especial del Malpaís de Güímar,Montaña/Volcán,28.317202610643537,-16.376067457455456
Servicios y Facilidades,,Oficina de Información Turística de Los Silos,,Punto de información,28.365313637876607,-16.81716760367172
Patrimonio Arquitectónico,"La iglesia de San Pedro de Vilaflor o Chasna es heredera de una historia que se remonta a principios del siglo XVI, ya que su fundación responde a los anhelos piadosos de Pedro Soler y Juana Padilla, su mujer. A dichos propietarios, los más importantes del pueblo y de la comarca en que habitaron de modo continuo, se debe la erección de una primera ermita en torno a 1530. No sería elevada a parroquia hasta 1568, incluyendo en su amplio partido jurisdiccional durante más de dos siglos a buena parte de los pueblos existentes en los actuales municipios de Vilaflor, Arona, San Miguel, Granadilla y Arico. De esa primera construcción apenas han perdurado testimonios artísticos, aunque sí lo ha hecho la efigie titular de San Pedro: una importante pieza de alabastro blanco que firmó en la peana el escultor aragonés Pedro Villar.",Iglesia de San Pedro Apóstol,,Edificio religioso,28.159795691951803,-16.63718038569793
Asentamientos,"Con su especial disposición geográfica ya que linda en todo su
perímetro con La Laguna, hecho insólito de entre los municipios
de Tenerife, Tegueste toma su nombre del antiguo menceyato,
dependiente tras la conquista del ayuntamiento lagunero (hasta su
nombramiento como municipio independiente con las Cortes de
Cádiz). El repartimiento de tierras por parte del Adelantado produce
la transformación de un medio natural que prácticamente estaba
intacto. En las datas, se concedió a Fernando de Llerena, Guillén Castellano, Juan de Almansa, Francisco Melián, Gonzalo del Castillo, o Juan Zapata, entre otros, el aprovechamiento de tierras, aguas y pastos. El centro urbano se desarrolla en una disposición subcuadrangular en torno a la parroquia de San Marcos y delimitado entre el barranco de Aguas de Dios, el puente del Camino del Caidero y la casa de la Palmera.",Conjunto Histórico de Tegueste,,Bien de Interés Cultural,28.52320743131999,-16.336413447413925
Patrimonio Geológico,,Pico del Inglés,Parque Rural de Anaga,Montaña/Volcán,28.533405575823327,-16.264971153478402
Patrimonio Arquitectónico,"La imagen de la Virgen de la Caridad del Cobre venerada en 
Azanos fue traída en 1984 por un vecino que había tenido un sueño en que «aparecía la imagen de la Virgen con una barca a sus pies», por lo que encargó una talla a un imaginero de Sevilla. Ese mismo año se construye la pequeña ermita en su honor en Azanos. ",Ermita Virgen de la Caridad y el Cobre,Parque Rural de Anaga,Edificio religioso,28.55710164178677,-16.21436149973915
Asentamientos,"Al igual que ocurre con la mayoría de municipios de Canarias, el casco histórico de Guía de Isora surgió a partir de la construcción del primer recinto religioso. Sus orígenes se remontan al menos a la primera mitad del siglo XVI, pues se tiene constancia documental de la construcción de un edificio para fines religiosos. Se amplió a lo largo del siglo XVIII y sufrió profundas transformaciones en los siglos XIX y XX, apariencia con la que la conocemos hoy en día. En cuanto a su arquitectura civil, si bien existen algunos ejemplos del siglo XVIII, la mayoría de viviendas que conforman este conjunto arquitectónico datan del siglo XIX, donde el eclecticismo y el neoclasicismo son los estilos dominantes. ",Conjunto Histórico de Guía de Isora,,Bien de Interés Cultural,28.20966660505856,-16.778389560497185
